projectname,classification,commenttext
Dubbo,DESIGN,'//  IMPORTANT! For async scenario we must remove context from current thread so we always create a new RpcContext for the next invoke for the same thread. '
Dubbo,DESIGN,'//  TODO: 2017/8/30 to move somewhere else better '
Dubbo,IMPLEMENTATION,'//  FIXME: now we need to check first then load '
Dubbo,DESIGN,'//  TODO Context.SESSIONS is the best option here? (In jetty 9.x it becomes ServletContextHandler.SESSIONS) '
Dubbo,DESIGN,'//  TODO move names to Constants '
Dubbo,DESIGN,'// ignore concurrent problem? '
Dubbo,IMPLEMENTATION,'// TODO add this to provider config '
Dubbo,DESIGN,'//  special treatment of array values was suggested by \'lizongbo\' '
Dubbo,DESIGN,'//  TODO we should leave this setting to slf4j '
Dubbo,DESIGN,'//  FIXME: when the thread pool is full SERVER_THREADPOOL_EXHAUSTED_ERROR cannot return properly   therefore the consumer side has to wait until gets timeout. This is a temporary solution to prevent   this scenario from happening but a better solution should be considered later. '
Dubbo,DESIGN,'//  The initial value is null and the midway may be assigned to null please use the local variable reference '
Dubbo,DESIGN,'//  FIXME REQUEST_CONTEXT '
Dubbo,DESIGN,'//  for example object transported on the wire doesn\'t implement Serializable '
Dubbo,DESIGN,'// bug: DUBBO-425 '
Dubbo,DESIGN,'//  FIXME log error message in Codec and handle in caught() of IoHanndler? '
Dubbo,DESIGN,'// There may be some problem handling chinese (negative number recognition). Ignoring this problem the backspace key is only meaningfully input in a real telnet program. '
Dubbo,DESIGN,'/*       This UT is unstable consider remove it later.      @see https://github.com/apache/dubbo/issues/1787      */'
Dubbo,DESIGN,'//  bug: DUBBO-132 '
Dubbo,DESIGN,'//  TODO do more sophisticated exception handling and output '
Dubbo,DESIGN,"'/*  * TODO for now kryo serialization doesn\'t deny classes that don\'t implement the serializable interface * * <pre> *     e.g. &lt;dubbo:protocol serialization=\""kryo\"" /&gt; * </pre>  */'"
Dubbo,DESIGN,'//  TODO users can override this mapper but we just rely on the current priority strategy of resteasy '
Dubbo,DESIGN,'// FIXME: waiting for embedded Nacos suport then we can open the switch. '
Dubbo,DESIGN,'// TODO generic invoker？ '
Dubbo,DESIGN,'/*      * FIXME this instance will always be a type of DynamicConfiguration ConfigCenterConfig will load the instance at startup and assign it to here.      */'
Dubbo,DESIGN,'//  TODO Do not want to use spaces? See: DUBBO-502 URL class handles special conventions for special characters. '
Dubbo,DESIGN,'//  hack use reflection to get the shared channel.'
Dubbo,DEFECT,'//  TODO Notification failure does not restore mechanism guarantee '
Dubbo,DEFECT,'// TODO fix npe  context.isProviderSide(); '
Dubbo,IMPLEMENTATION,'// TODO we needs use force writing to file so that buffer gets clear and new log can be written. '
Dubbo,DESIGN,'// Reselect before retry to avoid a change of candidate `invokers`.  NOTE: if `invokers` changed then `invoked` also lose accuracy. '
Dubbo,DESIGN,'/*  * TODO load as SPI will be better?  */'
Dubbo,DESIGN,'// fixme reject exception can not be sent to consumer because thread pool is full resulting in consumers waiting till timeout. '
Dubbo,DESIGN,'/*  * TODO refactor using mockito  */'
Dubbo,DESIGN,'//  generally a client can only be closed once here it is closed twice counter is incorrect '
Dubbo,DESIGN,'// TODO A temporary solution to the problem that the exception information can not be sent to the opposite end after the thread pool is full. Need a refactoring  fix The thread pool is full refuses to call does not return and causes the consumer to wait for time out '
Dubbo,DESIGN,'//  TODO in the future maybe we can just use a single rest client and connection manager '
Dubbo,DESIGN,'// TODO solve merge problem  = Constants.DEFAULT_STUB_EVENT; '
Dubbo,DESIGN,'//  FIXME: a hack to make org.apache.dubbo.remoting.exchange.support.DefaultFuture.closeChannel work '
Dubbo,DESIGN,'/*  is the buffer big enough?  */'
Dubbo,DEFECT,"'//  BUG: DUBBO-846 in version 2.0.9 config retry=\""false\"" on provider\'s method doesn\'t work '"
Dubbo,DESIGN,'//  FIXME: this exposes the design flaw in RouterChain '
Dubbo,DESIGN,'//  FIXME RESPONSE_CONTEXT '
Dubbo,IMPLEMENTATION,'//  TODO jetty will by default enable keepAlive so the xml config has no effect now '
Dubbo,IMPLEMENTATION,'// cannot write == not Available ? '
Dubbo,DESIGN,'//  TODO Wrapper cannot handle this scenario correctly: the classname contains \'$\' '
Dubbo,IMPLEMENTATION,'//  On server side thrift can not handle exceptions not declared in idl '
Dubbo,IMPLEMENTATION,'// TODO assert error log '
