@relation comments-weka.filters.unsupervised.instance.RemovePercentage-P50.0
@attribute comment string
@attribute classification {TEST,IMPLEMENTATION,DESIGN,DEFECT,DOCUMENTATION}
@data
"'//  IMPORTANT! For async scenario we must remove context from current thread so we always create a new RpcContext for the next invoke for the same thread. '",'DESIGN'
"'//  TODO: 2017/8/30 to move somewhere else better '",'DESIGN'
"'//  FIXME: now we need to check first then load '",'IMPLEMENTATION'
"'//  TODO Context.SESSIONS is the best option here? (In jetty 9.x it becomes ServletContextHandler.SESSIONS) '",'DESIGN'
"'//  TODO move names to Constants '",'DESIGN'
"'// ignore concurrent problem? '",'DESIGN'
"'// TODO add this to provider config '",'IMPLEMENTATION'
"'//  special treatment of array values was suggested by \\'lizongbo\\' '",'DESIGN'
"'//  TODO we should leave this setting to slf4j '",'DESIGN'
"'//  FIXME: when the thread pool is full SERVER_THREADPOOL_EXHAUSTED_ERROR cannot return properly   therefore the consumer side has to wait until gets timeout. This is a temporary solution to prevent   this scenario from happening but a better solution should be considered later. '",'DESIGN'
"'//  The initial value is null and the midway may be assigned to null please use the local variable reference '",'DESIGN'
"'//  FIXME REQUEST_CONTEXT '",'DESIGN'
"'//  for example object transported on the wire doesn\\'t implement Serializable '",'DESIGN'
"'// bug: DUBBO-425 '",'DESIGN'
"'//  FIXME log error message in Codec and handle in caught() of IoHanndler? '",'DESIGN'
"'// There may be some problem handling chinese (negative number recognition). Ignoring this problem the backspace key is only meaningfully input in a real telnet program. '",'DESIGN'
"'/*       This UT is unstable consider remove it later.      @see https://github.com/apache/dubbo/issues/1787      */'",'DESIGN'
"'//  bug: DUBBO-132 '",'DESIGN'
"'//  TODO do more sophisticated exception handling and output '",'DESIGN'
'\'/*  * TODO for now kryo serialization doesn\\\'t deny classes that don\\\'t implement the serializable interface * * <pre> *     e.g. &lt;dubbo:protocol serialization=\\"kryo\\" /&gt; * </pre>  */\'','DESIGN'
"'//  TODO users can override this mapper but we just rely on the current priority strategy of resteasy '",'DESIGN'
"'// FIXME: waiting for embedded Nacos suport then we can open the switch. '",'DESIGN'
"'// TODO generic invoker？ '",'DESIGN'
"'/*      * FIXME this instance will always be a type of DynamicConfiguration ConfigCenterConfig will load the instance at startup and assign it to here.      */'",'DESIGN'
"'//  TODO Do not want to use spaces? See: DUBBO-502 URL class handles special conventions for special characters. '",'DESIGN'
"'//  hack use reflection to get the shared channel.'",'DESIGN'
"'//  TODO Notification failure does not restore mechanism guarantee '",'DEFECT'
"'// TODO fix npe  context.isProviderSide(); '",'DEFECT'
"'// TODO we needs use force writing to file so that buffer gets clear and new log can be written. '",'IMPLEMENTATION'
"'// Reselect before retry to avoid a change of candidate `invokers`.  NOTE: if `invokers` changed then `invoked` also lose accuracy. '",'DESIGN'
"'/*  * TODO load as SPI will be better?  */'",'DESIGN'
"'// fixme reject exception can not be sent to consumer because thread pool is full resulting in consumers waiting till timeout. '",'DESIGN'
"'/*  * TODO refactor using mockito  */'",'DESIGN'
"'//  generally a client can only be closed once here it is closed twice counter is incorrect '",'DESIGN'
"'// TODO A temporary solution to the problem that the exception information can not be sent to the opposite end after the thread pool is full. Need a refactoring  fix The thread pool is full refuses to call does not return and causes the consumer to wait for time out '",'DESIGN'
"'//  TODO in the future maybe we can just use a single rest client and connection manager '",'DESIGN'
"'// TODO solve merge problem  = Constants.DEFAULT_STUB_EVENT; '",'DESIGN'
