projectname,package,top_package,comment,classification
Dubbo,Dubbo,Dubbo,'//  IMPORTANT! For async scenario, we must remove context from current thread, so we always create a new RpcContext for the next invoke for the same thread. ',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO: 2017/8/30 to move somewhere else better ',DESIGN
Dubbo,Dubbo,Dubbo,'//  FIXME: now we need to check first, then load ',IMPLEMENTATION
Dubbo,Dubbo,Dubbo,'//  TODO Context.SESSIONS is the best option here? (In jetty 9.x, it becomes ServletContextHandler.SESSIONS) ',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO move names to Constants ',DESIGN
Dubbo,Dubbo,Dubbo,'// ignore concurrent problem? ',DESIGN
Dubbo,Dubbo,Dubbo,'// TODO add this to provider config ',IMPLEMENTATION
Dubbo,Dubbo,Dubbo,'//  special treatment of array values was suggested by \'lizongbo\' ',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO we should leave this setting to slf4j ',DESIGN
Dubbo,Dubbo,Dubbo,'//  FIXME: when the thread pool is full, SERVER_THREADPOOL_EXHAUSTED_ERROR cannot return properly,   therefore the consumer side has to wait until gets timeout. This is a temporary solution to prevent   this scenario from happening, but a better solution should be considered later. ',DESIGN
Dubbo,Dubbo,Dubbo,'//  The initial value is null and the midway may be assigned to null, please use the local variable reference ',DESIGN
Dubbo,Dubbo,Dubbo,'//  FIXME REQUEST_CONTEXT ',DESIGN
Dubbo,Dubbo,Dubbo,'//  for example, object transported on the wire doesn\'t implement Serializable ',DESIGN
Dubbo,Dubbo,Dubbo,'// bug: DUBBO-425 ',DESIGN
Dubbo,Dubbo,Dubbo,'//  FIXME log error message in Codec and handle in caught() of IoHanndler? ',DESIGN
Dubbo,Dubbo,Dubbo,'// There may be some problem handling chinese (negative number recognition). Ignoring this problem, the backspace key is only meaningfully input in a real telnet program. ',DESIGN
Dubbo,Dubbo,Dubbo,'/*       This UT is unstable, consider remove it later.      @see https://github.com/apache/dubbo/issues/1787      */',DESIGN
Dubbo,Dubbo,Dubbo,'//  bug: DUBBO-132 ',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO do more sophisticated exception handling and output ',DESIGN
Dubbo,Dubbo,Dubbo,'/*  * TODO for now kryo serialization doesn\'t deny classes that don\'t implement the serializable interface * * <pre> *     e.g. &lt;dubbo:protocol serialization=\"kryo\" /&gt; * </pre>  */',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO users can override this mapper, but we just rely on the current priority strategy of resteasy ',DESIGN
Dubbo,Dubbo,Dubbo,'// FIXME: waiting for embedded Nacos suport, then we can open the switch. ',DESIGN
Dubbo,Dubbo,Dubbo,'// TODO generic invoker？ ',DESIGN
Dubbo,Dubbo,Dubbo,'/*      * FIXME, this instance will always be a type of DynamicConfiguration, ConfigCenterConfig will load the instance at startup and assign it to here.      */',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO Do not want to use spaces? See: DUBBO-502, URL class handles special conventions for special characters. ',DESIGN
Dubbo,Dubbo,Dubbo,'//  hack, use reflection to get the shared channel.',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO Notification failure does not restore mechanism guarantee ',DEFECT
Dubbo,Dubbo,Dubbo,'// TODO fix npe  context.isProviderSide(); ',DEFECT
Dubbo,Dubbo,Dubbo,'// TODO we needs use force writing to file so that buffer gets clear and new log can be written. ',IMPLEMENTATION
Dubbo,Dubbo,Dubbo,'// Reselect before retry to avoid a change of candidate `invokers`.  NOTE: if `invokers` changed, then `invoked` also lose accuracy. ',DESIGN
Dubbo,Dubbo,Dubbo,'/*  * TODO load as SPI will be better?  */',DESIGN
Dubbo,Dubbo,Dubbo,'// fixme, reject exception can not be sent to consumer because thread pool is full, resulting in consumers waiting till timeout. ',DESIGN
Dubbo,Dubbo,Dubbo,'/*  * TODO refactor using mockito  */',DESIGN
Dubbo,Dubbo,Dubbo,'//  generally a client can only be closed once, here it is closed twice, counter is incorrect ',DESIGN
Dubbo,Dubbo,Dubbo,'// TODO A temporary solution to the problem that the exception information can not be sent to the opposite end after the thread pool is full. Need a refactoring  fix The thread pool is full, refuses to call, does not return, and causes the consumer to wait for time out ',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO in the future maybe we can just use a single rest client and connection manager ',DESIGN
Dubbo,Dubbo,Dubbo,'// TODO solve merge problem  = Constants.DEFAULT_STUB_EVENT; ',DESIGN
Dubbo,Dubbo,Dubbo,'//  FIXME: a hack to make org.apache.dubbo.remoting.exchange.support.DefaultFuture.closeChannel work ',DESIGN
Dubbo,Dubbo,Dubbo,'/*  is the buffer big enough?  */',DESIGN
Dubbo,Dubbo,Dubbo,'//  BUG: DUBBO-846 in version 2.0.9, config retry=\"false\" on provider\'s method doesn\'t work ',DEFECT
Dubbo,Dubbo,Dubbo,'//  FIXME: this exposes the design flaw in RouterChain ',DESIGN
Dubbo,Dubbo,Dubbo,'//  FIXME RESPONSE_CONTEXT ',DESIGN
Dubbo,Dubbo,Dubbo,'//  TODO jetty will by default enable keepAlive so the xml config has no effect now ',IMPLEMENTATION
Dubbo,Dubbo,Dubbo,'// cannot write == not Available ? ',IMPLEMENTATION
Dubbo,Dubbo,Dubbo,'//  TODO Wrapper cannot handle this scenario correctly: the classname contains \'$\' ',DESIGN
Dubbo,Dubbo,Dubbo,'//  On server side, thrift can not handle exceptions not declared in idl ',IMPLEMENTATION
Dubbo,Dubbo,Dubbo,'// TODO assert error log ',IMPLEMENTATION
