@relation comments
@attribute projectname string
@attribute package string
@attribute top_package string
@attribute comment string
@data
'Dubbo','Dubbo','Dubbo','//  IMPORTANT! For async scenario, we must remove context from current thread, so we always create a new RpcContext for the next invoke for the same thread. '
'Dubbo','Dubbo','Dubbo','//  TODO: 2017/8/30 to move somewhere else better '
'Dubbo','Dubbo','Dubbo','//  FIXME: now we need to check first, then load '
'Dubbo','Dubbo','Dubbo','//  TODO Context.SESSIONS is the best option here? (In jetty 9.x, it becomes ServletContextHandler.SESSIONS) '
'Dubbo','Dubbo','Dubbo','//  TODO move names to Constants '
'Dubbo','Dubbo','Dubbo','// ignore concurrent problem? '
'Dubbo','Dubbo','Dubbo','// TODO add this to provider config '
'Dubbo','Dubbo','Dubbo',"//  special treatment of array values was suggested by 'lizongbo' "
'Dubbo','Dubbo','Dubbo','//  TODO we should leave this setting to slf4j '
'Dubbo','Dubbo','Dubbo','//  FIXME: when the thread pool is full, SERVER_THREADPOOL_EXHAUSTED_ERROR cannot return properly,   therefore the consumer side has to wait until gets timeout. This is a temporary solution to prevent   this scenario from happening, but a better solution should be considered later. '
'Dubbo','Dubbo','Dubbo','//  The initial value is null and the midway may be assigned to null, please use the local variable reference '
'Dubbo','Dubbo','Dubbo','//  FIXME REQUEST_CONTEXT '
'Dubbo','Dubbo','Dubbo',"//  for example, object transported on the wire doesn't implement Serializable "
'Dubbo','Dubbo','Dubbo','// bug: DUBBO-425 '
'Dubbo','Dubbo','Dubbo','//  FIXME log error message in Codec and handle in caught() of IoHanndler? '
'Dubbo','Dubbo','Dubbo','// There may be some problem handling chinese (negative number recognition). Ignoring this problem, the backspace key is only meaningfully input in a real telnet program. '
'Dubbo','Dubbo','Dubbo','/*       This UT is unstable, consider remove it later.      @see https://github.com/apache/dubbo/issues/1787      */'
'Dubbo','Dubbo','Dubbo','//  bug: DUBBO-132 '
'Dubbo','Dubbo','Dubbo','//  TODO do more sophisticated exception handling and output '
